lemma,literal
great,star
gun,water-pistol
guy,man
hair,haircut
half,pie
hang,hook
happen,boom
happy,smile
harbor,anchor
hard,rock
hate,anger
health,medical
hear,ear
heat,fire
hello,wave
help,life-ring
hero,superhero
high,mountain
home,house
human,person
idea,thought
identify,id-card
important,exclamation-red
increase,chart-up
indifference,shrug
industry,factory
info,information
instrument,guitar
interest,starstruck
internet-troll,troll
interview,microphone
introduction,beginner
iterate,loop
jealous,green
jockey,horse-racing
join,link
journal,notebook
juggle,juggling
juice,juice-box
jump,kangaroo
kick,foot
kind,care
king,monarch
kitchen,cook
kitten,cat
kneel,kneeling
know,brain
labor,construction-worker
lady,woman
large,whale
late,alarm-clock
law,scale
lazy,sloth
leader,crown
learn,graduation-cap
leave,door
leftward,left
less,minus
lesson,school
life,seedling
lift,weightlifting
like,thumbs-up
limit,stop
limp,crutch
lip,lips
list,bookmark
little,baby
loan,bank
long,ruler
look,eyes
lot,hundred
loud,speaker-high
low,speaker-low
machine,robot
magic,magic-wand
magnetic,magnet
mail,envelope
maintain,wrench
make,hammer
map,world-map
marriage,wedding
medication,pill
medium,speaker-medium
metal,rock-on
mining,pick
moment,stopwatch
money,money-bag
monitor,television
moon,crescent-moon
morning,sunrise
move,dash
mtb,mountain-biking
music,music-note
name,name-tag
nature,national-park
need,sos
nervous,anxious
new,sparkles
news,newspaper
next,next-track
nine,9
nope,no
note,memo
notify,bell
nuclear,radioactive
number,numbers
nurse,doctor
ocean,ocean-wave
officer,police
oil,oil-lamp
old,old-man
one,1
online,wireless
open,unlocked
opposite,left-right
oral,mouth
owner,key
pail,bucket
pain,hospital
pair,couple
paper,page
parent,family
part,puzzle-piece
pass,ticket
passenger,bus
past,mantel-clock
payment,credit-card
pearl,oyster
people,silhouettes
perform,theater
pet,dog
photo,camera
piano,musical-keyboard
picture,framed-picture
pixie,fairy
place,pushpin
plan,clipboard
plant,potted-plant
polish,nail-polish
port,boat
post,post-office
power,lightning
praise,clap
print,printer
problem,warning
protect,umbrella
pupil,student
read,book
recycle,recycling
refer,point
reflection,mirror
refuse,prohibited
researcher,scientist
rest,bed
result,checkered-flag
return,back
rightward,right
roll,paper-roll
root,root-veg
row,rowing
rubber,balloon
run,running
sad,cry
safe,locked
sale,receipt
save-money,floppy-disk
say,speaking-head
scan,x-ray
science,atom
score,bar-chart
screw,screwdriver
see,eye
seem,disguise
sell,shopping-bag
send,outbox
sentry,guard
separate,unlink
service,bellhop
set,set-square
seven,7
shave,razor
sheet,sheet-music
shine,sparkler
shock,exclamation-double
shoot,bow-arrow
shot,syringe
show,cinema
sign,placard
silence,mute
silent,bell-off
sing,singer
siren,mermaid
sit,seat
six,6
ski,skis
sky,cloud
slow,snail
small,ant
smell,nose
smoke,cigarette
soft,feather
solidarity,fist
solution,lightbulb
son,boy
soup,stew
space,milky-way
spirit,ghost
sport,soccer
square,white-square
stand,standing
start,play
statue,moai
stay,hotel
stealth,ninja
steam,sauna
steel,nut-bolt
stick,wood
store,department-store
storm,thunderstorm
story,scroll
strange,zany
stranger,silhouette
strong,bicep
studio,studio-mic
submit,inbox
success,trophy
sugar,candy
suit,tuxedo
suitcase,luggage
sulk,pout
sure,check
surf,surfing
surface,sponge
surprised,surprise
sweep,broom
sweet,sweet-potato
swim,swimming
symbol,symbols
take,hand
tape,videocassette
target,bullseye
taste,tongue
teach,teacher
tear,tear-smile
teeth,tooth
tell,speech
temperature,thermometer
temple,hindu-temple
ten,10
test,test-tube
thank,raise-hands
thing,label
three,3
throw,boomerang
tool,toolbox
top,top-hat
torch,flashlight
tower,tokyo-tower
traffic,traffic-light
transport,truck
trap,mousetrap
trash,litter
travel,airplane
true,yes
try,crossed-fingers
two,2
type,keyboard
unclear,fog
undead,zombie
unhappy,frown
union,european-union
upward,up
usd,dollar
use,gear
user,wheelchair-user
value,gemstone
vegetable,broccoli
video,video-camera
villain,supervillain
visit,shinto-shrine
volunteer,raise-hand
vote,ballot-box
wait,hourglass
wall,brick
want,pleading
war,sword-crossed
waste,wastebasket
water,droplet
wax,candle
way,compass
wc,restroom
weak,low-battery
weapon,bomb
wear,t-shirt
weather,sun-rain
west,sunset
western,western-sahara
whole,infinity
wide,japan-map
wild,lion
win,medal
winter,snowflake
withdraw,atm
wizard,mage
word,letters
work,briefcase
worker,office-worker
world,globe
worry,worried
wound,bandage
wrestle,wrestling
write,writing-hand
wrong,cross
yeah,victory
year,calendar
young,child
zero,0
