emoji,name,group,subgroup,literal,clarity,keep
🏋🏿‍♀️,woman lifting weights: dark skin tone,People & Body,person-sport,weightlifting,,
🚴,person biking,People & Body,person-sport,biking,,
🚴🏻,person biking: light skin tone,People & Body,person-sport,biking,,
🚴🏼,person biking: medium-light skin tone,People & Body,person-sport,biking,,
🚴🏽,person biking: medium skin tone,People & Body,person-sport,biking,,
🚴🏾,person biking: medium-dark skin tone,People & Body,person-sport,biking,,
🚴🏿,person biking: dark skin tone,People & Body,person-sport,biking,,
🚴‍♂️,man biking,People & Body,person-sport,biking,,
🚴🏻‍♂️,man biking: light skin tone,People & Body,person-sport,biking,,
🚴🏼‍♂️,man biking: medium-light skin tone,People & Body,person-sport,biking,,
🚴🏽‍♂️,man biking: medium skin tone,People & Body,person-sport,biking,,
🚴🏾‍♂️,man biking: medium-dark skin tone,People & Body,person-sport,biking,,
🚴🏿‍♂️,man biking: dark skin tone,People & Body,person-sport,biking,,
🚴‍♀️,woman biking,People & Body,person-sport,biking,,
🚴🏻‍♀️,woman biking: light skin tone,People & Body,person-sport,biking,,
🚴🏼‍♀️,woman biking: medium-light skin tone,People & Body,person-sport,biking,,
🚴🏽‍♀️,woman biking: medium skin tone,People & Body,person-sport,biking,,
🚴🏾‍♀️,woman biking: medium-dark skin tone,People & Body,person-sport,biking,,
🚴🏿‍♀️,woman biking: dark skin tone,People & Body,person-sport,biking,,
🚵,person mountain biking,People & Body,person-sport,mountain-biking,,
🚵🏻,person mountain biking: light skin tone,People & Body,person-sport,mountain-biking,,
🚵🏼,person mountain biking: medium-light skin tone,People & Body,person-sport,mountain-biking,,
🚵🏽,person mountain biking: medium skin tone,People & Body,person-sport,mountain-biking,,
🚵🏾,person mountain biking: medium-dark skin tone,People & Body,person-sport,mountain-biking,,
🚵🏿,person mountain biking: dark skin tone,People & Body,person-sport,mountain-biking,,
🚵‍♂️,man mountain biking,People & Body,person-sport,mountain-biking,,
🚵🏻‍♂️,man mountain biking: light skin tone,People & Body,person-sport,mountain-biking,,
🚵🏼‍♂️,man mountain biking: medium-light skin tone,People & Body,person-sport,mountain-biking,,
🚵🏽‍♂️,man mountain biking: medium skin tone,People & Body,person-sport,mountain-biking,,
🚵🏾‍♂️,man mountain biking: medium-dark skin tone,People & Body,person-sport,mountain-biking,,
🚵🏿‍♂️,man mountain biking: dark skin tone,People & Body,person-sport,mountain-biking,,
🚵‍♀️,woman mountain biking,People & Body,person-sport,mountain-biking,,
🚵🏻‍♀️,woman mountain biking: light skin tone,People & Body,person-sport,mountain-biking,,
🚵🏼‍♀️,woman mountain biking: medium-light skin tone,People & Body,person-sport,mountain-biking,,
🚵🏽‍♀️,woman mountain biking: medium skin tone,People & Body,person-sport,mountain-biking,,
🚵🏾‍♀️,woman mountain biking: medium-dark skin tone,People & Body,person-sport,mountain-biking,,
🚵🏿‍♀️,woman mountain biking: dark skin tone,People & Body,person-sport,mountain-biking,,
🤸,person cartwheeling,People & Body,person-sport,cartwheel,,
🤸🏻,person cartwheeling: light skin tone,People & Body,person-sport,cartwheel,,
🤸🏼,person cartwheeling: medium-light skin tone,People & Body,person-sport,cartwheel,,
🤸🏽,person cartwheeling: medium skin tone,People & Body,person-sport,cartwheel,,
🤸🏾,person cartwheeling: medium-dark skin tone,People & Body,person-sport,cartwheel,,
🤸🏿,person cartwheeling: dark skin tone,People & Body,person-sport,cartwheel,,
🤸‍♂️,man cartwheeling,People & Body,person-sport,cartwheel,,
🤸🏻‍♂️,man cartwheeling: light skin tone,People & Body,person-sport,cartwheel,,
🤸🏼‍♂️,man cartwheeling: medium-light skin tone,People & Body,person-sport,cartwheel,,
🤸🏽‍♂️,man cartwheeling: medium skin tone,People & Body,person-sport,cartwheel,,
🤸🏾‍♂️,man cartwheeling: medium-dark skin tone,People & Body,person-sport,cartwheel,,
🤸🏿‍♂️,man cartwheeling: dark skin tone,People & Body,person-sport,cartwheel,,
🤸‍♀️,woman cartwheeling,People & Body,person-sport,cartwheel,,
🤸🏻‍♀️,woman cartwheeling: light skin tone,People & Body,person-sport,cartwheel,,
🤸🏼‍♀️,woman cartwheeling: medium-light skin tone,People & Body,person-sport,cartwheel,,
🤸🏽‍♀️,woman cartwheeling: medium skin tone,People & Body,person-sport,cartwheel,,
🤸🏾‍♀️,woman cartwheeling: medium-dark skin tone,People & Body,person-sport,cartwheel,,
🤸🏿‍♀️,woman cartwheeling: dark skin tone,People & Body,person-sport,cartwheel,,
🤼,people wrestling,People & Body,person-sport,wrestling,,
🤼🏻,people wrestling: light skin tone,People & Body,person-sport,wrestling,,
🤼🏼,people wrestling: medium-light skin tone,People & Body,person-sport,wrestling,,
🤼🏽,people wrestling: medium skin tone,People & Body,person-sport,wrestling,,
🤼🏾,people wrestling: medium-dark skin tone,People & Body,person-sport,wrestling,,
🤼🏿,people wrestling: dark skin tone,People & Body,person-sport,wrestling,,
🤼‍♂️,men wrestling,People & Body,person-sport,wrestling,,
🤼🏻‍♂️,men wrestling: light skin tone,People & Body,person-sport,wrestling,,
🤼🏼‍♂️,men wrestling: medium-light skin tone,People & Body,person-sport,wrestling,,
🤼🏽‍♂️,men wrestling: medium skin tone,People & Body,person-sport,wrestling,,
🤼🏾‍♂️,men wrestling: medium-dark skin tone,People & Body,person-sport,wrestling,,
🤼🏿‍♂️,men wrestling: dark skin tone,People & Body,person-sport,wrestling,,
🤼‍♀️,women wrestling,People & Body,person-sport,wrestling,,
🤼🏻‍♀️,women wrestling: light skin tone,People & Body,person-sport,wrestling,,
🤼🏼‍♀️,women wrestling: medium-light skin tone,People & Body,person-sport,wrestling,,
🤼🏽‍♀️,women wrestling: medium skin tone,People & Body,person-sport,wrestling,,
🤼🏾‍♀️,women wrestling: medium-dark skin tone,People & Body,person-sport,wrestling,,
🤼🏿‍♀️,women wrestling: dark skin tone,People & Body,person-sport,wrestling,,
🧑🏻‍🫯‍🧑🏼,"people wrestling: light skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
🧑🏻‍🫯‍🧑🏽,"people wrestling: light skin tone, medium skin tone",People & Body,person-sport,wrestling,,
🧑🏻‍🫯‍🧑🏾,"people wrestling: light skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
🧑🏻‍🫯‍🧑🏿,"people wrestling: light skin tone, dark skin tone",People & Body,person-sport,wrestling,,
🧑🏼‍🫯‍🧑🏻,"people wrestling: medium-light skin tone, light skin tone",People & Body,person-sport,wrestling,,
🧑🏼‍🫯‍🧑🏽,"people wrestling: medium-light skin tone, medium skin tone",People & Body,person-sport,wrestling,,
🧑🏼‍🫯‍🧑🏾,"people wrestling: medium-light skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
🧑🏼‍🫯‍🧑🏿,"people wrestling: medium-light skin tone, dark skin tone",People & Body,person-sport,wrestling,,
🧑🏽‍🫯‍🧑🏻,"people wrestling: medium skin tone, light skin tone",People & Body,person-sport,wrestling,,
🧑🏽‍🫯‍🧑🏼,"people wrestling: medium skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
🧑🏽‍🫯‍🧑🏾,"people wrestling: medium skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
🧑🏽‍🫯‍🧑🏿,"people wrestling: medium skin tone, dark skin tone",People & Body,person-sport,wrestling,,
🧑🏾‍🫯‍🧑🏻,"people wrestling: medium-dark skin tone, light skin tone",People & Body,person-sport,wrestling,,
🧑🏾‍🫯‍🧑🏼,"people wrestling: medium-dark skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
🧑🏾‍🫯‍🧑🏽,"people wrestling: medium-dark skin tone, medium skin tone",People & Body,person-sport,wrestling,,
🧑🏾‍🫯‍🧑🏿,"people wrestling: medium-dark skin tone, dark skin tone",People & Body,person-sport,wrestling,,
🧑🏿‍🫯‍🧑🏻,"people wrestling: dark skin tone, light skin tone",People & Body,person-sport,wrestling,,
🧑🏿‍🫯‍🧑🏼,"people wrestling: dark skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
🧑🏿‍🫯‍🧑🏽,"people wrestling: dark skin tone, medium skin tone",People & Body,person-sport,wrestling,,
🧑🏿‍🫯‍🧑🏾,"people wrestling: dark skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
👨🏻‍🫯‍👨🏼,"men wrestling: light skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
👨🏻‍🫯‍👨🏽,"men wrestling: light skin tone, medium skin tone",People & Body,person-sport,wrestling,,
👨🏻‍🫯‍👨🏾,"men wrestling: light skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
👨🏻‍🫯‍👨🏿,"men wrestling: light skin tone, dark skin tone",People & Body,person-sport,wrestling,,
👨🏼‍🫯‍👨🏻,"men wrestling: medium-light skin tone, light skin tone",People & Body,person-sport,wrestling,,
👨🏼‍🫯‍👨🏽,"men wrestling: medium-light skin tone, medium skin tone",People & Body,person-sport,wrestling,,
👨🏼‍🫯‍👨🏾,"men wrestling: medium-light skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
👨🏼‍🫯‍👨🏿,"men wrestling: medium-light skin tone, dark skin tone",People & Body,person-sport,wrestling,,
👨🏽‍🫯‍👨🏻,"men wrestling: medium skin tone, light skin tone",People & Body,person-sport,wrestling,,
👨🏽‍🫯‍👨🏼,"men wrestling: medium skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
👨🏽‍🫯‍👨🏾,"men wrestling: medium skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
👨🏽‍🫯‍👨🏿,"men wrestling: medium skin tone, dark skin tone",People & Body,person-sport,wrestling,,
👨🏾‍🫯‍👨🏻,"men wrestling: medium-dark skin tone, light skin tone",People & Body,person-sport,wrestling,,
👨🏾‍🫯‍👨🏼,"men wrestling: medium-dark skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
👨🏾‍🫯‍👨🏽,"men wrestling: medium-dark skin tone, medium skin tone",People & Body,person-sport,wrestling,,
👨🏾‍🫯‍👨🏿,"men wrestling: medium-dark skin tone, dark skin tone",People & Body,person-sport,wrestling,,
👨🏿‍🫯‍👨🏻,"men wrestling: dark skin tone, light skin tone",People & Body,person-sport,wrestling,,
👨🏿‍🫯‍👨🏼,"men wrestling: dark skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
👨🏿‍🫯‍👨🏽,"men wrestling: dark skin tone, medium skin tone",People & Body,person-sport,wrestling,,
👨🏿‍🫯‍👨🏾,"men wrestling: dark skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
👩🏻‍🫯‍👩🏼,"women wrestling: light skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
👩🏻‍🫯‍👩🏽,"women wrestling: light skin tone, medium skin tone",People & Body,person-sport,wrestling,,
👩🏻‍🫯‍👩🏾,"women wrestling: light skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
👩🏻‍🫯‍👩🏿,"women wrestling: light skin tone, dark skin tone",People & Body,person-sport,wrestling,,
👩🏼‍🫯‍👩🏻,"women wrestling: medium-light skin tone, light skin tone",People & Body,person-sport,wrestling,,
👩🏼‍🫯‍👩🏽,"women wrestling: medium-light skin tone, medium skin tone",People & Body,person-sport,wrestling,,
👩🏼‍🫯‍👩🏾,"women wrestling: medium-light skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
👩🏼‍🫯‍👩🏿,"women wrestling: medium-light skin tone, dark skin tone",People & Body,person-sport,wrestling,,
👩🏽‍🫯‍👩🏻,"women wrestling: medium skin tone, light skin tone",People & Body,person-sport,wrestling,,
👩🏽‍🫯‍👩🏼,"women wrestling: medium skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
👩🏽‍🫯‍👩🏾,"women wrestling: medium skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
👩🏽‍🫯‍👩🏿,"women wrestling: medium skin tone, dark skin tone",People & Body,person-sport,wrestling,,
👩🏾‍🫯‍👩🏻,"women wrestling: medium-dark skin tone, light skin tone",People & Body,person-sport,wrestling,,
👩🏾‍🫯‍👩🏼,"women wrestling: medium-dark skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
👩🏾‍🫯‍👩🏽,"women wrestling: medium-dark skin tone, medium skin tone",People & Body,person-sport,wrestling,,
👩🏾‍🫯‍👩🏿,"women wrestling: medium-dark skin tone, dark skin tone",People & Body,person-sport,wrestling,,
👩🏿‍🫯‍👩🏻,"women wrestling: dark skin tone, light skin tone",People & Body,person-sport,wrestling,,
👩🏿‍🫯‍👩🏼,"women wrestling: dark skin tone, medium-light skin tone",People & Body,person-sport,wrestling,,
👩🏿‍🫯‍👩🏽,"women wrestling: dark skin tone, medium skin tone",People & Body,person-sport,wrestling,,
👩🏿‍🫯‍👩🏾,"women wrestling: dark skin tone, medium-dark skin tone",People & Body,person-sport,wrestling,,
🤽,person playing water polo,People & Body,person-sport,water-polo,,
🤽🏻,person playing water polo: light skin tone,People & Body,person-sport,water-polo,,
🤽🏼,person playing water polo: medium-light skin tone,People & Body,person-sport,water-polo,,
🤽🏽,person playing water polo: medium skin tone,People & Body,person-sport,water-polo,,
🤽🏾,person playing water polo: medium-dark skin tone,People & Body,person-sport,water-polo,,
🤽🏿,person playing water polo: dark skin tone,People & Body,person-sport,water-polo,,
🤽‍♂️,man playing water polo,People & Body,person-sport,water-polo,,
🤽🏻‍♂️,man playing water polo: light skin tone,People & Body,person-sport,water-polo,,
🤽🏼‍♂️,man playing water polo: medium-light skin tone,People & Body,person-sport,water-polo,,
🤽🏽‍♂️,man playing water polo: medium skin tone,People & Body,person-sport,water-polo,,
🤽🏾‍♂️,man playing water polo: medium-dark skin tone,People & Body,person-sport,water-polo,,
🤽🏿‍♂️,man playing water polo: dark skin tone,People & Body,person-sport,water-polo,,
🤽‍♀️,woman playing water polo,People & Body,person-sport,water-polo,,
🤽🏻‍♀️,woman playing water polo: light skin tone,People & Body,person-sport,water-polo,,
🤽🏼‍♀️,woman playing water polo: medium-light skin tone,People & Body,person-sport,water-polo,,
🤽🏽‍♀️,woman playing water polo: medium skin tone,People & Body,person-sport,water-polo,,
🤽🏾‍♀️,woman playing water polo: medium-dark skin tone,People & Body,person-sport,water-polo,,
🤽🏿‍♀️,woman playing water polo: dark skin tone,People & Body,person-sport,water-polo,,
🤾,person playing handball,People & Body,person-sport,handball,,
🤾🏻,person playing handball: light skin tone,People & Body,person-sport,handball,,
🤾🏼,person playing handball: medium-light skin tone,People & Body,person-sport,handball,,
🤾🏽,person playing handball: medium skin tone,People & Body,person-sport,handball,,
🤾🏾,person playing handball: medium-dark skin tone,People & Body,person-sport,handball,,
🤾🏿,person playing handball: dark skin tone,People & Body,person-sport,handball,,
🤾‍♂️,man playing handball,People & Body,person-sport,handball,,
🤾🏻‍♂️,man playing handball: light skin tone,People & Body,person-sport,handball,,
🤾🏼‍♂️,man playing handball: medium-light skin tone,People & Body,person-sport,handball,,
🤾🏽‍♂️,man playing handball: medium skin tone,People & Body,person-sport,handball,,
🤾🏾‍♂️,man playing handball: medium-dark skin tone,People & Body,person-sport,handball,,
🤾🏿‍♂️,man playing handball: dark skin tone,People & Body,person-sport,handball,,
🤾‍♀️,woman playing handball,People & Body,person-sport,handball,,
🤾🏻‍♀️,woman playing handball: light skin tone,People & Body,person-sport,handball,,
🤾🏼‍♀️,woman playing handball: medium-light skin tone,People & Body,person-sport,handball,,
🤾🏽‍♀️,woman playing handball: medium skin tone,People & Body,person-sport,handball,,
🤾🏾‍♀️,woman playing handball: medium-dark skin tone,People & Body,person-sport,handball,,
🤾🏿‍♀️,woman playing handball: dark skin tone,People & Body,person-sport,handball,,
🤹,person juggling,People & Body,person-sport,juggling,,
🤹🏻,person juggling: light skin tone,People & Body,person-sport,juggling,,
🤹🏼,person juggling: medium-light skin tone,People & Body,person-sport,juggling,,
🤹🏽,person juggling: medium skin tone,People & Body,person-sport,juggling,,
🤹🏾,person juggling: medium-dark skin tone,People & Body,person-sport,juggling,,
🤹🏿,person juggling: dark skin tone,People & Body,person-sport,juggling,,
🤹‍♂️,man juggling,People & Body,person-sport,juggling,,
🤹🏻‍♂️,man juggling: light skin tone,People & Body,person-sport,juggling,,
🤹🏼‍♂️,man juggling: medium-light skin tone,People & Body,person-sport,juggling,,
🤹🏽‍♂️,man juggling: medium skin tone,People & Body,person-sport,juggling,,
🤹🏾‍♂️,man juggling: medium-dark skin tone,People & Body,person-sport,juggling,,
🤹🏿‍♂️,man juggling: dark skin tone,People & Body,person-sport,juggling,,
🤹‍♀️,woman juggling,People & Body,person-sport,juggling,,
🤹🏻‍♀️,woman juggling: light skin tone,People & Body,person-sport,juggling,,
🤹🏼‍♀️,woman juggling: medium-light skin tone,People & Body,person-sport,juggling,,
🤹🏽‍♀️,woman juggling: medium skin tone,People & Body,person-sport,juggling,,
🤹🏾‍♀️,woman juggling: medium-dark skin tone,People & Body,person-sport,juggling,,
🤹🏿‍♀️,woman juggling: dark skin tone,People & Body,person-sport,juggling,,
🧘,person in lotus position,People & Body,person-resting,meditation,,
🧘🏻,person in lotus position: light skin tone,People & Body,person-resting,meditation,,
🧘🏼,person in lotus position: medium-light skin tone,People & Body,person-resting,meditation,,
🧘🏽,person in lotus position: medium skin tone,People & Body,person-resting,meditation,,
🧘🏾,person in lotus position: medium-dark skin tone,People & Body,person-resting,meditation,,
🧘🏿,person in lotus position: dark skin tone,People & Body,person-resting,meditation,,
🧘‍♂️,man in lotus position,People & Body,person-resting,meditation,,
🧘🏻‍♂️,man in lotus position: light skin tone,People & Body,person-resting,meditation,,
🧘🏼‍♂️,man in lotus position: medium-light skin tone,People & Body,person-resting,meditation,,
🧘🏽‍♂️,man in lotus position: medium skin tone,People & Body,person-resting,meditation,,
🧘🏾‍♂️,man in lotus position: medium-dark skin tone,People & Body,person-resting,meditation,,
🧘🏿‍♂️,man in lotus position: dark skin tone,People & Body,person-resting,meditation,,
🧘‍♀️,woman in lotus position,People & Body,person-resting,meditation,,
🧘🏻‍♀️,woman in lotus position: light skin tone,People & Body,person-resting,meditation,,
🧘🏼‍♀️,woman in lotus position: medium-light skin tone,People & Body,person-resting,meditation,,
🧘🏽‍♀️,woman in lotus position: medium skin tone,People & Body,person-resting,meditation,,
🧘🏾‍♀️,woman in lotus position: medium-dark skin tone,People & Body,person-resting,meditation,,
🧘🏿‍♀️,woman in lotus position: dark skin tone,People & Body,person-resting,meditation,,
🛀,person taking bath,People & Body,person-resting,bath,,
🛀🏻,person taking bath: light skin tone,People & Body,person-resting,bath,,
🛀🏼,person taking bath: medium-light skin tone,People & Body,person-resting,bath,,
🛀🏽,person taking bath: medium skin tone,People & Body,person-resting,bath,,
🛀🏾,person taking bath: medium-dark skin tone,People & Body,person-resting,bath,,
🛀🏿,person taking bath: dark skin tone,People & Body,person-resting,bath,,
🛌,person in bed,People & Body,person-resting,in-bed,,
🛌🏻,person in bed: light skin tone,People & Body,person-resting,in-bed,,
🛌🏼,person in bed: medium-light skin tone,People & Body,person-resting,in-bed,,
🛌🏽,person in bed: medium skin tone,People & Body,person-resting,in-bed,,
🛌🏾,person in bed: medium-dark skin tone,People & Body,person-resting,in-bed,,
🛌🏿,person in bed: dark skin tone,People & Body,person-resting,in-bed,,
🧑‍🤝‍🧑,people holding hands,People & Body,family,holding-hands,,
🧑🏻‍🤝‍🧑🏻,people holding hands: light skin tone,People & Body,family,holding-hands,,
🧑🏻‍🤝‍🧑🏼,"people holding hands: light skin tone, medium-light skin tone",People & Body,family,holding-hands,,
🧑🏻‍🤝‍🧑🏽,"people holding hands: light skin tone, medium skin tone",People & Body,family,holding-hands,,
🧑🏻‍🤝‍🧑🏾,"people holding hands: light skin tone, medium-dark skin tone",People & Body,family,holding-hands,,
🧑🏻‍🤝‍🧑🏿,"people holding hands: light skin tone, dark skin tone",People & Body,family,holding-hands,,
🧑🏼‍🤝‍🧑🏻,"people holding hands: medium-light skin tone, light skin tone",People & Body,family,holding-hands,,
🧑🏼‍🤝‍🧑🏼,people holding hands: medium-light skin tone,People & Body,family,holding-hands,,
🧑🏼‍🤝‍🧑🏽,"people holding hands: medium-light skin tone, medium skin tone",People & Body,family,holding-hands,,
🧑🏼‍🤝‍🧑🏾,"people holding hands: medium-light skin tone, medium-dark skin tone",People & Body,family,holding-hands,,
🧑🏼‍🤝‍🧑🏿,"people holding hands: medium-light skin tone, dark skin tone",People & Body,family,holding-hands,,
🧑🏽‍🤝‍🧑🏻,"people holding hands: medium skin tone, light skin tone",People & Body,family,holding-hands,,
🧑🏽‍🤝‍🧑🏼,"people holding hands: medium skin tone, medium-light skin tone",People & Body,family,holding-hands,,
🧑🏽‍🤝‍🧑🏽,people holding hands: medium skin tone,People & Body,family,holding-hands,,
🧑🏽‍🤝‍🧑🏾,"people holding hands: medium skin tone, medium-dark skin tone",People & Body,family,holding-hands,,
🧑🏽‍🤝‍🧑🏿,"people holding hands: medium skin tone, dark skin tone",People & Body,family,holding-hands,,
🧑🏾‍🤝‍🧑🏻,"people holding hands: medium-dark skin tone, light skin tone",People & Body,family,holding-hands,,
🧑🏾‍🤝‍🧑🏼,"people holding hands: medium-dark skin tone, medium-light skin tone",People & Body,family,holding-hands,,
🧑🏾‍🤝‍🧑🏽,"people holding hands: medium-dark skin tone, medium skin tone",People & Body,family,holding-hands,,
🧑🏾‍🤝‍🧑🏾,people holding hands: medium-dark skin tone,People & Body,family,holding-hands,,
🧑🏾‍🤝‍🧑🏿,"people holding hands: medium-dark skin tone, dark skin tone",People & Body,family,holding-hands,,
🧑🏿‍🤝‍🧑🏻,"people holding hands: dark skin tone, light skin tone",People & Body,family,holding-hands,,
🧑🏿‍🤝‍🧑🏼,"people holding hands: dark skin tone, medium-light skin tone",People & Body,family,holding-hands,,
🧑🏿‍🤝‍🧑🏽,"people holding hands: dark skin tone, medium skin tone",People & Body,family,holding-hands,,
🧑🏿‍🤝‍🧑🏾,"people holding hands: dark skin tone, medium-dark skin tone",People & Body,family,holding-hands,,
🧑🏿‍🤝‍🧑🏿,people holding hands: dark skin tone,People & Body,family,holding-hands,,
👭,women holding hands,People & Body,family,women-holding-hands,,
👭🏻,women holding hands: light skin tone,People & Body,family,women-holding-hands,,
👩🏻‍🤝‍👩🏼,"women holding hands: light skin tone, medium-light skin tone",People & Body,family,women-holding-hands,,
👩🏻‍🤝‍👩🏽,"women holding hands: light skin tone, medium skin tone",People & Body,family,women-holding-hands,,
👩🏻‍🤝‍👩🏾,"women holding hands: light skin tone, medium-dark skin tone",People & Body,family,women-holding-hands,,
👩🏻‍🤝‍👩🏿,"women holding hands: light skin tone, dark skin tone",People & Body,family,women-holding-hands,,
👩🏼‍🤝‍👩🏻,"women holding hands: medium-light skin tone, light skin tone",People & Body,family,women-holding-hands,,
👭🏼,women holding hands: medium-light skin tone,People & Body,family,women-holding-hands,,
👩🏼‍🤝‍👩🏽,"women holding hands: medium-light skin tone, medium skin tone",People & Body,family,women-holding-hands,,
👩🏼‍🤝‍👩🏾,"women holding hands: medium-light skin tone, medium-dark skin tone",People & Body,family,women-holding-hands,,
👩🏼‍🤝‍👩🏿,"women holding hands: medium-light skin tone, dark skin tone",People & Body,family,women-holding-hands,,
👩🏽‍🤝‍👩🏻,"women holding hands: medium skin tone, light skin tone",People & Body,family,women-holding-hands,,
👩🏽‍🤝‍👩🏼,"women holding hands: medium skin tone, medium-light skin tone",People & Body,family,women-holding-hands,,
👭🏽,women holding hands: medium skin tone,People & Body,family,women-holding-hands,,
👩🏽‍🤝‍👩🏾,"women holding hands: medium skin tone, medium-dark skin tone",People & Body,family,women-holding-hands,,
👩🏽‍🤝‍👩🏿,"women holding hands: medium skin tone, dark skin tone",People & Body,family,women-holding-hands,,
👩🏾‍🤝‍👩🏻,"women holding hands: medium-dark skin tone, light skin tone",People & Body,family,women-holding-hands,,
👩🏾‍🤝‍👩🏼,"women holding hands: medium-dark skin tone, medium-light skin tone",People & Body,family,women-holding-hands,,
👩🏾‍🤝‍👩🏽,"women holding hands: medium-dark skin tone, medium skin tone",People & Body,family,women-holding-hands,,
👭🏾,women holding hands: medium-dark skin tone,People & Body,family,women-holding-hands,,
👩🏾‍🤝‍👩🏿,"women holding hands: medium-dark skin tone, dark skin tone",People & Body,family,women-holding-hands,,
👩🏿‍🤝‍👩🏻,"women holding hands: dark skin tone, light skin tone",People & Body,family,women-holding-hands,,
👩🏿‍🤝‍👩🏼,"women holding hands: dark skin tone, medium-light skin tone",People & Body,family,women-holding-hands,,
👩🏿‍🤝‍👩🏽,"women holding hands: dark skin tone, medium skin tone",People & Body,family,women-holding-hands,,
👩🏿‍🤝‍👩🏾,"women holding hands: dark skin tone, medium-dark skin tone",People & Body,family,women-holding-hands,,
👭🏿,women holding hands: dark skin tone,People & Body,family,women-holding-hands,,
👫,woman and man holding hands,People & Body,family,woman-and-man-holding-hands,,
👫🏻,woman and man holding hands: light skin tone,People & Body,family,woman-and-man-holding-hands,,
👩🏻‍🤝‍👨🏼,"woman and man holding hands: light skin tone, medium-light skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏻‍🤝‍👨🏽,"woman and man holding hands: light skin tone, medium skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏻‍🤝‍👨🏾,"woman and man holding hands: light skin tone, medium-dark skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏻‍🤝‍👨🏿,"woman and man holding hands: light skin tone, dark skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏼‍🤝‍👨🏻,"woman and man holding hands: medium-light skin tone, light skin tone",People & Body,family,woman-and-man-holding-hands,,
👫🏼,woman and man holding hands: medium-light skin tone,People & Body,family,woman-and-man-holding-hands,,
👩🏼‍🤝‍👨🏽,"woman and man holding hands: medium-light skin tone, medium skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏼‍🤝‍👨🏾,"woman and man holding hands: medium-light skin tone, medium-dark skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏼‍🤝‍👨🏿,"woman and man holding hands: medium-light skin tone, dark skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏽‍🤝‍👨🏻,"woman and man holding hands: medium skin tone, light skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏽‍🤝‍👨🏼,"woman and man holding hands: medium skin tone, medium-light skin tone",People & Body,family,woman-and-man-holding-hands,,
👫🏽,woman and man holding hands: medium skin tone,People & Body,family,woman-and-man-holding-hands,,
👩🏽‍🤝‍👨🏾,"woman and man holding hands: medium skin tone, medium-dark skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏽‍🤝‍👨🏿,"woman and man holding hands: medium skin tone, dark skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏾‍🤝‍👨🏻,"woman and man holding hands: medium-dark skin tone, light skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏾‍🤝‍👨🏼,"woman and man holding hands: medium-dark skin tone, medium-light skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏾‍🤝‍👨🏽,"woman and man holding hands: medium-dark skin tone, medium skin tone",People & Body,family,woman-and-man-holding-hands,,
👫🏾,woman and man holding hands: medium-dark skin tone,People & Body,family,woman-and-man-holding-hands,,
👩🏾‍🤝‍👨🏿,"woman and man holding hands: medium-dark skin tone, dark skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏿‍🤝‍👨🏻,"woman and man holding hands: dark skin tone, light skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏿‍🤝‍👨🏼,"woman and man holding hands: dark skin tone, medium-light skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏿‍🤝‍👨🏽,"woman and man holding hands: dark skin tone, medium skin tone",People & Body,family,woman-and-man-holding-hands,,
👩🏿‍🤝‍👨🏾,"woman and man holding hands: dark skin tone, medium-dark skin tone",People & Body,family,woman-and-man-holding-hands,,
